LENDER NAME,Commercial,,,,,
,1st,,2nd,,Construction,
,,,,,,
Hillmount Mortgages,,"LTV: 65%
1-12 months
Loan: 500k-15m ",,,,"LTV: 65%
1-15 months
Loan: 500k-15m"
,,,,,,
,,,,,,
,,,,,,
Firm Capital,,,,,,
,,,,,,
Mercury Mortgages,2% Fee,Loan: 75k-3m,3% Fee,Loan: 15k-1m,,
Brightpath Capital,,,,,,
,,,,,,
,,,,,,
Cosman,,,,,,
Lanyard Financial,,,,,,
